time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-09T17:01:08.450Z,38.8213348,-122.8046646,2.84,0.83,md,21,36,0.0047,0.01,nc,nc73468771,2020-10-09T17:02:42.599Z,"6km NW of The Geysers, CA",earthquake,0.24,0.53,0.25,2,automatic,nc,nc
2020-10-09T17:00:54.090Z,38.7994995,-122.7750015,1.57,0.24,md,8,165,0.03118,0.07,nc,nc73468766,2020-10-09T17:02:27.311Z,"3km NNW of The Geysers, CA",earthquake,0.82,1.29,,1,automatic,nc,nc
2020-10-09T16:46:57.070Z,35.8891667,-117.6961667,7.19,0.68,ml,11,108,0.0694,0.11,ci,ci39658048,2020-10-09T16:50:49.032Z,"20km ESE of Little Lake, CA",earthquake,0.29,0.84,0.236,8,automatic,ci,ci
2020-10-09T16:33:02.293Z,67.2214,-163.5154,0.2,3.5,ml,,,,0.81,ak,ak020d0at4y4,2020-10-09T17:08:58.040Z,"45 km SSW of Noatak, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-09T16:32:25.140Z,36.6489983,-121.2856674,5.04,1.82,md,15,68,0.04464,0.2,nc,nc73468761,2020-10-09T16:34:02.731Z,"16km S of Tres Pinos, CA",earthquake,0.54,1.47,0.28,11,automatic,nc,nc
2020-10-09T16:27:36.169Z,63.0069,-151.5019,3.3,1.8,ml,,,,0.75,ak,ak020d0as0k9,2020-10-09T16:31:11.783Z,"60 km S of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-09T16:13:56.310Z,38.1862,-117.8523,12.1,1.2,ml,16,72.24,0.014,0.1,nn,nn00777952,2020-10-09T16:20:55.928Z,"31 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-10-09T16:06:30.820Z,39.8795,-118.406,10,1.1,ml,10,142.91,0.596,0.18,nn,nn00777949,2020-10-09T16:14:53.709Z,"33 km S of Lovelock, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-10-09T15:52:46.320Z,38.1497,-118.0107,5.3,1.6,ml,14,108.72,0.038,0.06,nn,nn00777945,2020-10-09T16:01:35.908Z,"28 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-10-09T15:46:18.080Z,38.1378,-117.7917,13.5,1.1,ml,8,112,0.06,0.03,nn,nn00777942,2020-10-09T15:53:34.310Z,"39 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-10-09T15:40:20.700Z,33.8378333,-117.0258333,14.08,1.1,ml,31,66,0.131,0.23,ci,ci39658000,2020-10-09T15:44:10.618Z,"9km NW of San Jacinto, CA",earthquake,0.32,0.8,0.205,30,automatic,ci,ci
2020-10-09T15:35:53.470Z,35.8803333,-117.6836667,4.43,0.69,ml,14,101,0.08649,0.15,ci,ci39657992,2020-10-09T16:11:15.739Z,"21km ESE of Little Lake, CA",earthquake,0.24,0.53,0.266,5,reviewed,ci,ci
2020-10-09T15:35:21.920Z,17.9385,-66.8535,17,2.16,md,13,203,0.0447,0.24,pr,pr2020283010,2020-10-09T16:07:16.198Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,1.14,0.65,0.31,10,reviewed,pr,pr
2020-10-09T15:26:28.647Z,27.8841,56.3344,43.65,4.4,mb,,134,2.929,0.86,us,us6000c74a,2020-10-09T16:51:20.040Z,"77 km N of Bandar Abbas, Iran",earthquake,13,11.1,0.143,14,reviewed,us,us
2020-10-09T15:24:42.150Z,35.669,-117.4045,2.96,-0.24,ml,5,186,0.0948,0.08,ci,ci39657976,2020-10-09T16:13:51.770Z,"11km SSW of Trona, CA",earthquake,0.46,0.94,0.089,2,reviewed,ci,ci
2020-10-09T15:24:25.640Z,38.8003349,-122.7731705,0.6,0.93,md,15,74,0.01356,0.04,nc,nc73468736,2020-10-09T16:34:06.870Z,"3km NNW of The Geysers, CA",earthquake,0.23,0.48,0.11,3,automatic,nc,nc
2020-10-09T15:13:42.667Z,32.1018,-106.721,5.4,2.7,ml,,139,0.998,1.43,us,us6000c745,2020-10-09T15:27:47.040Z,"2 km SSW of La Mesa, New Mexico",earthquake,2.3,5.5,0.105,12,reviewed,us,us
2020-10-09T15:00:12.160Z,35.905,-117.6825,9.59,0.45,ml,9,104,0.05012,0.09,ci,ci39657944,2020-10-09T15:57:04.088Z,"20km E of Little Lake, CA",earthquake,0.26,0.6,0.027,7,reviewed,ci,ci
2020-10-09T14:57:27.309Z,36.36466667,-97.34316667,6.66,1.95,ml,99,36,0.09988040006,0.27,ok,ok2020twjl,2020-10-09T16:01:42.394Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.5,0.22,14,reviewed,ok,ok
2020-10-09T14:48:29.250Z,36.1063333,-117.8461667,3.42,1.23,ml,14,80,0.01325,0.13,ci,ci39657928,2020-10-09T14:52:17.833Z,"11km NE of Coso Junction, CA",earthquake,0.3,0.35,0.223,20,automatic,ci,ci
2020-10-09T14:45:51.710Z,34.0073333,-116.3275,10.73,0.57,ml,8,130,0.08068,0.12,ci,ci39657936,2020-10-09T16:15:21.672Z,"14km S of Joshua Tree, CA",earthquake,0.34,0.54,0.082,3,reviewed,ci,ci
2020-10-09T14:45:14.970Z,33.3956667,-116.4078333,11,0.5,ml,11,144,0.1274,0.17,ci,ci39657912,2020-10-09T14:49:00.173Z,"16km N of Borrego Springs, CA",earthquake,0.47,1.27,0.117,11,automatic,ci,ci
2020-10-09T14:37:30.830Z,36.0238333,-117.7691667,1.98,0.23,ml,9,103,0.003452,0.06,ci,ci39657896,2020-10-09T16:21:51.827Z,"16km NE of Little Lake, CA",earthquake,0.19,0.2,0.229,3,reviewed,ci,ci
2020-10-09T14:32:16.430Z,38.2333,-117.7333,10.7,1,ml,11,167.42,0.023,0.23,nn,nn00777939,2020-10-09T15:43:34.184Z,"37 km ESE of Mina, Nevada",earthquake,,13.4,,,automatic,nn,nn
2020-10-09T14:27:31.860Z,38.7841682,-122.734169,2.45,0.65,md,6,84,0.002203,0.01,nc,nc73468726,2020-10-09T14:42:07.115Z,"2km ENE of The Geysers, CA",earthquake,1.45,4.59,0.07,2,automatic,nc,nc
2020-10-09T14:18:57.850Z,35.872,-117.6688333,4.2,0.57,ml,9,94,0.07721,0.15,ci,ci39657872,2020-10-09T14:22:37.084Z,"23km ESE of Little Lake, CA",earthquake,0.37,1.04,0.074,7,automatic,ci,ci
2020-10-09T14:16:03.150Z,33.588,-116.8103333,5.9,0.33,ml,10,117,0.03901,0.16,ci,ci39657856,2020-10-09T14:19:32.205Z,"13km WNW of Anza, CA",earthquake,1.07,1.14,0.114,4,automatic,ci,ci
2020-10-09T14:10:01.470Z,36.0233333,-117.772,1.1,0.84,ml,11,105,0.005776,0.14,ci,ci39657848,2020-10-09T14:13:34.835Z,"16km NE of Little Lake, CA",earthquake,0.24,0.28,0.195,10,automatic,ci,ci
2020-10-09T14:07:03.370Z,17.9451,-66.9205,6,2.46,md,16,214,0.051,0.22,pr,pr2020283009,2020-10-09T14:25:20.738Z,"3 km SSW of Guánica, Puerto Rico",earthquake,0.65,0.36,0.22,10,reviewed,pr,pr
